word,tag,number
شركات,O,221
صناعة,O,222
سيارات,O,223
في,O,224
ألمانيا,B-LOC,225
.,O,226
رجح,O,228
الممثل,O,229
الأعلى,O,230
للأمن,O,231
والسياسة,O,232
الخارجية,O,233
الأوروبي,O,234
خافيير,B-PERS,235
سولانا,I-PERS,236
أن,O,237
يتوصل,O,238
مجلس,B-ORG,239
الأمن,I-ORG,240
الأسبوع,O,241
المقبل,O,242
إلى,O,243
حل,O,244
للأزمة,O,245
الناشبة,O,246
عن,O,247
الاعتداء,O,248
الإسرائيلي,O,249
المتواصل,O,250
منذ,O,251
ثمانية,O,252
أيام,O,253
على,O,254
لبنان,B-LOC,255
.,O,256
وقال,O,258
خلال,O,259
مؤتمر,O,260
صحفي,O,261
في,O,262
القاهرة,B-LOC,263
بعد,O,264
لقائه,O,265
الرئيس,O,266
حسني,B-PERS,267
مبارك,I-PERS,268
إن,O,269
مجلس,B-ORG,270
الأمن,I-ORG,271
قد,O,272
يتبنى,O,273
قرارا,O,274
حول,O,275
النزاع,O,276
الأسبوع,O,277
المقبل,O,278
،,O,279
داعيا,O,280
إلى,O,281
بذل,O,282
الجهود,O,283
لأجل,O,284
إنهاء,O,285
النزاع,O,286
.,O,287
ووصف,O,289
سولانا,B-PERS,290
الذي,O,291
قام,O,292
بجولة,O,293
شملت,O,294
لبنان,B-LOC,295
وإسرائيل,B-LOC,296
المعاناة,O,297
الحالية,O,298
في,O,299
لبنان,B-LOC,300
بأنها,O,301
أمر,O,302
مروع,O,303
،,O,304
ودعا,O,305
الجميع,O,306
لبذل,O,307
الجهود,O,308
اللازمة,O,309
لوضع,O,310
حد,O,311
لإراقة,O,312
الدماء,O,313
.,O,314
خطة,O,316
أنان,B-PERS,317
و,O,318
في,O,319
نيويورك,B-LOC,320
دعا,O,321
الأمين,O,322
العام,O,323
للأمم,O,324
المتحدة,O,325
إلى,O,326
وقف,O,327
فوري,O,328
لإطلاق,O,329
النار,O,330
،,O,331
وحدد,O,332
ملامح,O,333
خطة,O,334
للأزمة,O,335
اقترحها,O,336
موفدوه,O,337
الذين,O,338
زاروا,O,339
الاثنين,O,340
والثلاثاء,O,341
الماضيين,O,342
بيروت,B-LOC,343
وتل,B-LOC,344
أبيب,I-LOC,345
.,O,346
وقال,O,348
كوفي,B-PERS,349
أنان,I-PERS,350
إن,O,351
هذه,O,352
الخطة,O,353
يجب,O,354
أن,O,355
تشكل,O,356
القاعدة,O,357
السياسية,O,358
لأي,O,359
وقف,O,360
لإطلاق,O,361
نار,O,362
،,O,363
موضحا,O,364
أنها,O,365
تنص,O,366
على,O,367
"""",O,368
نقل,O,369
"""",O,370
الجنديين,O,371
الأسيرين,O,372
إلى,O,373
السلطات,O,374
اللبنانية,O,375
الشرعية,O,376
برعاية,O,377
اللجنة,B-ORG,378
الدولية,I-ORG,379
للصليب,I-ORG,380
الأحمر,I-ORG,381
بهدف,O,382
إعادتهما,O,383
إلى,O,384
إسرائيل,B-LOC,385
ووقف,O,386
إطلاق,O,387
النار,O,388
"""",O,389
.,O,390
كما,O,392
تنص,O,393
تلك,O,394
الخطة,O,395
على,O,396
نشر,O,397
قوة,O,398
لحفظ,O,399
السلام,O,400
في,O,401
الجانب,O,402
اللبناني,O,403
من,O,404
الخط,O,405
الأزرق,O,406
الفاصل,O,407
بين,O,408
الحدود,O,409
اللبنانية,O,410
والإسرائيلية,O,411
،,O,412
للمساهمة,O,413
"""",O,414
في,O,415
إرساء,O,416
الاستقرار,O,417
"""",O,418
بالمنطقة,O,419
.,O,420
ودعا,O,422
أنان,B-PERS,423
خلال,O,424
كلمة,O,425
له,O,426
أمس,O,427
أمام,O,428
مجلس,B-ORG,429
الأمن,I-ORG,430
إلى,O,431
عقد,O,432
مؤتمر,O,433
دولي,O,434
لوضع,O,435
"""",O,436
جدول,O,437
زمني,O,438
دقيق,O,439
"""",O,440
لتطبيق,O,441
قرارات,O,442
المجلس,O,443
بسرعة,O,444
،,O,445
وخصوصا,O,446
نزع,O,447
سلاح,O,448
حزب,B-ORG,449
الله,I-ORG,450
.,O,451
من,O,453
جهته,O,454
رفض,O,455
السفير,O,456
الأميركي,O,457
بمجلس,O,458
الأمن,O,459
اقتراح,O,460
أنان,B-PERS,461
بوقف,O,462
فوري,O,463
لإطلاق,O,464
النار,O,465
،,O,466
قائلا,O,467
إنه,O,468
لا,O,469
يمكن,O,470
التوصل,O,471
إلى,O,472
ذلك,O,473
مع,O,474
"""",O,475
مجموعة,O,476
من,O,477
الإرهابيين,O,478
"""",O,479
.,O,480
جون,B-PERS,482
بولتون,I-PERS,483
:,O,484
وقف,O,485
إطلاق,O,486
النار,O,487
مع,O,488
الإرهابيين,O,489
مرفوض,O,490
(,O,491
الفرنسية,B-ORG,492
),O,493
وأضاف,O,494
جون,B-PERS,495
بولتون,I-PERS,496
"""",O,497
إن,O,498
ما,O,499
نسعى,O,500
إليه,O,501
هو,O,502
وقف,O,503
طويل,O,504
للأعمال,O,505
الحربية,O,506
يكون,O,507
جزءا,O,508
من,O,509
تغيير,O,510
شامل,O,511
بالمنطقة,O,512
وجزءا,O,513
من,O,514
مؤسسة,O,515
للسلام,O,516
،,O,517
لكن,O,518
أحدا,O,519
لم,O,520
يشرح,O,521
كيف,O,522
يمكن,O,523
التوصل,O,524
إلى,O,525
وقف,O,526
للنار,O,527
مع,O,528
مجموعة,O,529
من,O,530
الإرهابيين,O,531
"""",O,532
.,O,533
وشن,O,535
المندوب,O,536
الإسرائيلي,O,537
دان,B-PERS,538
غيلرمان,I-PERS,539
هجوما,O,540
عنيفا,O,541
على,O,542
أمين,O,543
الأمم,B-ORG,544
المتحدة,I-ORG,545
لأن,O,546
تقريره,O,547
لم,O,548
يشر,O,549
إلى,O,550
الإرهاب,O,551
وإيران,B-LOC,552
وسوريا,B-LOC,553
.,O,554
وأعلن,O,556
المتحدث,O,557
باسم,O,558
الخارجية,B-ORG,559
الأميركية,I-ORG,560
شون,B-PERS,561
ماكورماك,I-PERS,562
من,O,563
جهته,O,564
أن,O,565
الوزيرة,O,566
كوندوليزا,B-PERS,567
رايس,I-PERS,568
ستزور,O,569
المنطقة,O,570
الأسبوع,O,571
المقبل,O,572
لخفض,O,573
التوتر,O,574
بين,O,575
إسرائيل,B-LOC,576
وحزب,B-ORG,577
الله,I-ORG,578
،,O,579
من,O,580
دون,O,581
إعطاء,O,582
تفاصيل,O,583
حول,O,584
التاريخ,O,585
أو,O,586
الدول,O,587
التي,O,588
ستزورها,O,589
.,O,590
تشاؤم,O,592
السنيورة,B-PERS,593
وفي,O,594
بيروت,B-LOC,595
شكر,O,596
رئيس,O,597
الحكومة,O,598
أنان,B-PERS,599
في,O,600
اتصال,O,601
هاتفي,O,602
على,O,603
اهتمامه,O,604
بلبنان,B-LOC,605
،,O,606
وأبدى,O,607
أمس,O,608
تشاؤمه,O,609
باحتمال,O,610
التوصل,O,611
إلى,O,612
حل,O,613
قريب,O,614
للحرب,O,615
الإسرائيلية,O,616
على,O,617
البلاد,O,618
.,O,619
واتهم,O,621
فؤاد,B-PERS,622
السنيورة,I-PERS,623
الولايات,B-LOC,624
المتحدة,I-LOC,625
بإعطاء,O,626
فرصة,O,627
لإسرائيل,B-LOC,628
لمتابعة,O,629
عدوانها,O,630
،,O,631
مشددا,O,632
على,O,633
أن,O,634
الحل,O,635
النهائي,O,636
يكون,O,637
ببسط,O,638
الدولة,O,639
سيادتها,O,640
على,O,641
كامل,O,642
أراضيها,O,643
.,O,644
وقال,O,646
السنيورة,B-PERS,647
في,O,648
حديث,O,649
إن,O,650
الأفكار,O,651
التي,O,652
حملها,O,653
من,O,654
لبنان,B-LOC,655
وفد,O,656
الأمم,B-ORG,657
المتحدة,I-ORG,658
رفضتها,O,659
إسرائيل,B-LOC,660
.,O,661
وأضاف,O,663
أن,O,664
"""",O,665
وفد,O,666
الأمم,B-ORG,667
المتحدة,I-ORG,668
لم,O,669
يعد,O,670
إلى,O,671
لبنان,B-LOC,672
لأن,O,673
إسرائيل,B-LOC,674
أعطت,O,675
جوابا,O,676
سلبيا,O,677
وأميركا,B-LOC,678
تعطي,O,679
إسرائيل,B-LOC,680
فرصة,O,681
لمتابعة,O,682
عدوانها,O,683
"""",O,684
.,O,685
وفي,O,687
موسكو,B-LOC,688
أصدرت,O,689
الخارجية,O,690
الروسية,O,691
بيانا,O,692
دعت,O,693
فيه,O,694
إلى,O,695
وقف,O,696
فوري,O,697
لإطلاق,O,698
النار,O,699
،,O,700
محذرة,O,701
مما,O,702
وصفتها,O,703
بكارثة,O,704
إنسانية,O,705
كبرى,O,706
في,O,707
لبنان,B-LOC,708
والأراضي,O,709
الفلسطينية,O,710
.,O,711
وأشار,O,713
وزير,O,714
الخارجية,O,715
الروسي,O,716
سيرغي,B-PERS,717
لافروف,I-PERS,718
إلى,O,719
أن,O,720
الهجوم,O,721
الإسرائيلي,O,722
على,O,723
لبنان,B-LOC,724
"""",O,725
تجاوز,O,726
كثيرا,O,727
"""",O,728
حدود,O,729
العملية,O,730
"""",O,731
المناهضة,O,732
للإرهاب,O,733
"""",O,734
التي,O,735
تقول,O,736
إسرائيل,B-LOC,737
إنها,O,738
تنفذها,O,739
ضد,O,740
حزب,B-ORG,741
الله,I-ORG,742
.,O,743
فؤاد,B-PERS,745
السنيورة,I-PERS,746
قال,O,747
إن,O,748
واشنطن,B-LOC,749
أعطت,O,750
فرصة,O,751
لإسرائيل,B-LOC,752
كي,O,753
تتابع,O,754
عدوانها,O,755
(,O,756
الفرنسية,B-ORG,757
),O,758
كما,O,759
دعا,O,760
مندوب,O,761
فرنسا,B-LOC,762
لدى,O,763
الأمم,B-ORG,764
المتحدة,I-ORG,765
جان,B-PERS,766
مارك,I-PERS,767
دو,I-PERS,768
لا,I-PERS,769
سابليير,I-PERS,770
مجلس,B-ORG,771
الأمن,I-ORG,772
إلى,O,773
مناقشة,O,774
عاجلة,O,775
للإعلان,O,776
عن,O,777
هدنة,O,778
إنسانية,O,779
،,O,780
ووقف,O,781
دائم,O,782
لإطلاق,O,783
النار,O,784
في,O,785
لبنان,B-LOC,786
.,O,787
وأضاف,O,789
أن,O,790
باريس,B-LOC,791
لا,O,792
تعتقد,O,793
أن,O,794
نزع,O,795
سلاح,O,796
حزب,B-ORG,797
الله,I-ORG,798
يمكن,O,799
أن,O,800
يتحقق,O,801
بقصف,O,802
لبنان,B-LOC,803
كله,O,804
بل,O,805
من,O,806
خلال,O,807
الحوار,O,808
الوطني,O,809
.,O,810
عربيا,O,812
دعا,O,813
الرئيس,O,814
السوري,O,815
بشار,B-PERS,816
الأسد,I-PERS,817
المجتمع,O,818
الدولي,O,819
إلى,O,820
التحرك,O,821
بسرعة,O,822
لترتيب,O,823
وقف,O,824
لإطلاق,O,825
النار,O,826
ينهي,O,827
الأزمة,O,828
بين,O,829
حزب,B-ORG,830
الله,I-ORG,831
وإسرائيل,B-LOC,832
.,O,833
جاء,O,835
ذلك,O,836
بعد,O,837
أن,O,838
أجرى,O,839
ألكسندر,B-PERS,840
سلطانوف,I-PERS,841
نائب,O,842
وزير,O,843
خارجية,O,844
روسيا,B-LOC,845
محادثات,O,846
في,O,847
دمشق,B-LOC,848
مع,O,849
وزير,O,850
الخارجية,O,851
السوري,O,852
وليد,B-PERS,853
المعلم,I-PERS,854
.,O,855
وفي,O,857
باريس,B-LOC,858
انتقد,O,859
وزير,O,860
الخارجية,O,861
السعودي,O,862
سعود,B-PERS,863
الفيصل,I-PERS,864
بعد,O,865
لقاء,O,866
نظيره,O,867
الفرنسي,O,868
بباريس,B-LOC,869
"""",O,870
عجرفة,O,871
"""",O,872
إسرائيل,B-LOC,873
واتهمها,O,874
"""",O,875
بتدمير,O,876
"""",O,877
لبنان,B-LOC,878
.,O,879
قال,O,881
خبراء,O,882
اقتصاديون,O,883
إسرائيليون,O,884
إن,O,885
تكلفة,O,886
العدوان,O,887
على,O,888
لبنان,B-LOC,889
خلال,O,890
الأسبوع,O,891
الأول,O,892
بلغت,O,893
ستة,O,894
مليارات,O,895
شيكل,B-MISC,896
(,O,897
1.3,O,898
مليار,O,899
دولار,B-MISC,900
),O,901
،,O,902
فيما,O,903
قدرت,O,904
الأضرار,O,905
المادية,O,906
في,O,907
70,O,908
بلدة,O,909
ومستوطنة,O,910
ومدينة,O,911
إسرائيلية,O,912
طالتها,O,913
صواريخ,O,914
حزب,B-ORG,915
الله,I-ORG,916
بأكثر,O,917
من,O,918
مليار,O,919
شيكل,B-MISC,920
(,O,921
225,O,922
مليون,O,923
دولار,B-MISC,924
),O,925
حتى,O,926
اليوم,O,927
.,O,928
"""",O,930
خسائر,O,931
الاقتصاد,O,932
الإسرائيلي,O,933
جراء,O,934
العدوان,O,935
على,O,936
لبنان,B-LOC,937
تفوق,O,938
200,O,939
مليون,O,940
دولار,B-MISC,941
يوميا,O,942
"""",O,943
وأكد,O,944
الخبراء,O,945
أن,O,946
الخسائر,O,947
المادية,O,948
اللاحقة,O,949
بالاقتصاد,O,950
الإسرائيلي,O,951
جراء,O,952
إغلاق,O,953
المصانع,O,954
وتعطيل,O,955
المرافق,O,956
التجارية,O,957
تقدر,O,958
بنحو,O,959
400,O,960
مليون,O,961
شيكل,B-MISC,962
يوميا,O,963
(,O,964
90,O,965
مليون,O,966
دولار,B-MISC,967
),O,968
بينما,O,969
ينفق,O,970
الجيش,O,971
يوميا,O,972
نحو,O,973
نصف,O,974
مليار,O,975
شيكل,B-MISC,976
(,O,977
112.5,O,978
مليون,O,979
دولار,B-MISC,980
),O,981
.,O,982
ويضاف,O,984
إلى,O,985
ما,O,986
سبق,O,987
الخسائر,O,988
المالية,O,989
التي,O,990
نجمت,O,991
عن,O,992
الأضرار,O,993
الفادحة,O,994
التي,O,995
أصابت,O,996
البنى,O,997
التحتية,O,998
.,O,999
كما,O,1001
تضرر,O,1002
القطاع,O,1003
السياحي,O,1004
خصوصا,O,1005
في,O,1006
منطقة,O,1007
الشمال,O,1008
التي,O,1009
يبلغ,O,1010
الموسم,O,1011
السياحي,O,1012
فيها,O,1013
ذروته,O,1014
في,O,1015
مثل,O,1016
هذه,O,1017
الفترة,O,1018
من,O,1019
الصيف,O,1020
.,O,1021
وقدرت,O,1023
وزارة,B-ORG,1024
السياحة,I-ORG,1025
الإسرائيلية,I-ORG,1026
خسارة,O,1027
المرافق,O,1028
السياحية,O,1029
بنحو,O,1030
120,O,1031
مليون,O,1032
شيكل,B-MISC,1033
(,O,1034
27,O,1035
مليون,O,1036
دولار,B-MISC,1037
),O,1038
بسبب,O,1039
إلغاء,O,1040
الحجوزات,O,1041
في,O,1042
الفنادق,O,1043
والمناطق,O,1044
السياحية,O,1045
في,O,1046
الشمال,O,1047
وإلغاء,O,1048
رحلات,O,1049
السياح,O,1050
الأجانب,O,1051
إلى,O,1052
البلاد,O,1053
.,O,1054
وأفادت,O,1056
بيانات,O,1057
وزارة,O,1058
الصناعة,O,1059
بأن,O,1060
70%,O,1061
من,O,1062
مصانع,O,1063
شمال,O,1064
إسرائيل,B-LOC,1065
مغلقة,O,1066
جراء,O,1067
الحرب,O,1068
وإغلاق,O,1069
ميناء,O,1070
حيفا,B-LOC,1071
.,O,1072
وقال,O,1074
الخبير,O,1075
الاقتصادي,O,1076
أمين,B-PERS,1077
فارس,I-PERS,1078
إن,O,1079
العدوان,O,1080
على,O,1081
لبنان,B-LOC,1082
انعكس,O,1083
سلبا,O,1084
على,O,1085
الاقتصاد,O,1086
الإسرائيلي,O,1087
وأثر,O,1088
بشكل,O,1089
مباشر,O,1090
على,O,1091
سوق,O,1092
الأسهم,O,1093
الذي,O,1094
انخفض,O,1095
منذ,O,1096
أسبوع,O,1097
بشكل,O,1098
كبير,O,1099
،,O,1100
مشيرا,O,1101
إلى,O,1102
أن,O,1103
هذه,O,1104
الآثار,O,1105
السلبية,O,1106
ستكون,O,1107
على,O,1108
المدى,O,1109
القصير,O,1110
فقط,O,1111
.,O,1112
وتوقع,O,1114
فارس,B-PERS,1115
تزايد,O,1116
الأضرار,O,1117
الاقتصادية,O,1118
كلما,O,1119
طالت,O,1120
الحرب,O,1121
منوها,O,1122
إلى,O,1123
أن,O,1124
الحرب,O,1125
ستؤثر,O,1126
على,O,1127
الخزينة,O,1128
الإسرائيلية,O,1129
بشكل,O,1130
كبير,O,1131
،,O,1132
وستكبدها,O,1133
نفقات,O,1134
طائلة,O,1135
ستكون,O,1136
على,O,1137
حساب,O,1138
قطاعات,O,1139
هامة,O,1140
جدا,O,1141
للمجتمع,O,1142
مثل,O,1143
الرفاه,O,1144
الاجتماعي,O,1145
،,O,1146
والتربية,O,1147
والتعليم,O,1148
،,O,1149
والصحة,O,1150
وغيرها,O,1151
.,O,1152
طابا,B-LOC,1154
وإيلات,B-LOC,1155
ورجّح,O,1156
فارس,B-PERS,1157
أن,O,1158
تكون,O,1159
خسارة,O,1160
إسرائيل,B-LOC,1161
يوميا,O,1162
نحو,O,1163
نصف,O,1164
مليار,O,1165
شيكل,B-MISC,1166
(,O,1167
112.5,O,1168
مليون,O,1169
دولار,B-MISC,1170
),O,1171
،,O,1172
تنقسم,O,1173
بين,O,1174
مصروفات,O,1175
مباشرة,O,1176
للحرب,O,1177
وبين,O,1178
خسائر,O,1179
أخرى,O,1180
مثل,O,1181
البطالة,O,1182
وتعطيل,O,1183
العمل,O,1184
والمصانع,O,1185
والورشات,O,1186
وتدمير,O,1187
السياحة,O,1188
.,O,1189
رجح,O,1191
الممثل,O,1192
الأعلى,O,1193
للأمن,O,1194
والسياسة,O,1195
الخارجية,O,1196
الأوروبي,O,1197
خافيير,B-PERS,1198
سولانا,I-PERS,1199
أن,O,1200
يتوصل,O,1201
مجلس,B-ORG,1202
الأمن,I-ORG,1203
الأسبوع,O,1204
المقبل,O,1205
إلى,O,1206
حل,O,1207
للأزمة,O,1208
الناشبة,O,1209
عن,O,1210
الاعتداء,O,1211
الإسرائيلي,O,1212
المتواصل,O,1213
منذ,O,1214
ثمانية,O,1215
أيام,O,1216
على,O,1217
لبنان,B-LOC,1218
.,O,1219
وقال,O,1221
خلال,O,1222
مؤتمر,O,1223
صحفي,O,1224
في,O,1225
القاهرة,B-LOC,1226
بعد,O,1227
لقائه,O,1228
الرئيس,O,1229
حسني,B-PERS,1230
مبارك,I-PERS,1231
إن,O,1232
مجلس,B-ORG,1233
الأمن,I-ORG,1234
قد,O,1235
يتبنى,O,1236
قرارا,O,1237
حول,O,1238
النزاع,O,1239
الأسبوع,O,1240
المقبل،,O,1241
داعيا,O,1242
إلى,O,1243
بذل,O,1244
الجهود,O,1245
لأجل,O,1246
إنهاء,O,1247
النزاع,O,1248
.,O,1249
ووصف,O,1251
سولانا,B-PERS,1252
الذي,O,1253
قام,O,1254
بجولة,O,1255
شملت,O,1256
لبنان,B-LOC,1257
وإسرائيل,B-LOC,1258
المعاناة,O,1259
الحالية,O,1260
في,O,1261
لبنان,B-LOC,1262
بأنها,O,1263
أمر,O,1264
مروع,O,1265
،,O,1266
ودعا,O,1267
الجميع,O,1268
لبذل,O,1269
الجهود,O,1270
اللازمة,O,1271
لوضع,O,1272
حد,O,1273
لإراقة,O,1274
الدماء,O,1275
.,O,1276
خطة,O,1278
أنان,B-PERS,1279
و,O,1280
في,O,1281
نيويورك,B-LOC,1282
دعا,O,1283
الأمين,O,1284
العام,O,1285
للأمم,O,1286
المتحدة,O,1287
إلى,O,1288
وقف,O,1289
فوري,O,1290
لإطلاق,O,1291
النار,O,1292
،,O,1293
وحدد,O,1294
ملامح,O,1295
خطة,O,1296
للأزمة,O,1297
اقترحها,O,1298
موفدوه,O,1299
الذين,O,1300
زاروا,O,1301
الاثنين,O,1302
والثلاثاء,O,1303
الماضيين,O,1304
بيروت,B-LOC,1305
وتل,B-LOC,1306
أبيب,I-LOC,1307
.,O,1308
وقال,O,1310
كوفي,B-PERS,1311
أنان,I-PERS,1312
إن,O,1313
هذه,O,1314
الخطة,O,1315
يجب,O,1316
أن,O,1317
تشكل,O,1318
القاعدة,O,1319
السياسية,O,1320
لأي,O,1321
وقف,O,1322
لإطلاق,O,1323
نار,O,1324
،,O,1325
موضحا,O,1326
أنها,O,1327
تنص,O,1328
على,O,1329
"""",O,1330
نقل,O,1331
"""",O,1332
الجنديين,O,1333
الأسيرين,O,1334
إلى,O,1335
السلطات,O,1336
اللبنانية,O,1337
الشرعية,O,1338
برعاية,O,1339
اللجنة,B-ORG,1340
الدولية,I-ORG,1341
للصليب,I-ORG,1342
الأحمر,I-ORG,1343
بهدف,O,1344
إعادتهما,O,1345
إلى,O,1346
إسرائيل,B-LOC,1347
ووقف,O,1348
إطلاق,O,1349
النار,O,1350
"""",O,1351
.,O,1352
كما,O,1354
تنص,O,1355
تلك,O,1356
الخطة,O,1357
على,O,1358
نشر,O,1359
قوة,O,1360
لحفظ,O,1361
السلام,O,1362
في,O,1363
الجانب,O,1364
اللبناني,O,1365
من,O,1366
الخط,O,1367
الأزرق,O,1368
الفاصل,O,1369
بين,O,1370
الحدود,O,1371
اللبنانية,O,1372
والإسرائيلية,O,1373
،,O,1374
للمساهمة,O,1375
"""",O,1376
في,O,1377
إرساء,O,1378
الاستقرار,O,1379
"""",O,1380
بالمنطقة,O,1381
.,O,1382
ودعا,O,1384
أنان,B-PERS,1385
خلال,O,1386
كلمة,O,1387
له,O,1388
أمس,O,1389
أمام,O,1390
مجلس,B-ORG,1391
الأمن,I-ORG,1392
إلى,O,1393
عقد,O,1394
مؤتمر,O,1395
دولي,O,1396
لوضع,O,1397
"""",O,1398
جدول,O,1399
زمني,O,1400
دقيق,O,1401
"""",O,1402
لتطبيق,O,1403
قرارات,O,1404
المجلس,O,1405
بسرعة,O,1406
،,O,1407
وخصوصا,O,1408
نزع,O,1409
سلاح,O,1410
حزب,B-ORG,1411
الله,I-ORG,1412
.,O,1413
من,O,1415
جهته,O,1416
رفض,O,1417
السفير,O,1418
الأميركي,O,1419
بمجلس,O,1420
الأمن,O,1421
اقتراح,O,1422
أنان,B-PERS,1423
بوقف,O,1424
فوري,O,1425
لإطلاق,O,1426
النار,O,1427
،,O,1428
قائلا,O,1429
إنه,O,1430
لا,O,1431
يمكن,O,1432
التوصل,O,1433
إلى,O,1434
ذلك,O,1435
مع,O,1436
"""",O,1437
مجموعة,O,1438
من,O,1439
الإرهابيين,O,1440
"""",O,1441
.,O,1442
جون,B-PERS,1444
بولتون,I-PERS,1445
:,O,1446
وقف,O,1447
إطلاق,O,1448
النار,O,1449
مع,O,1450
الإرهابيين,O,1451
مرفوض,O,1452
(,O,1453
الفرنسية,B-ORG,1454
),O,1455
وأضاف,O,1456
جون,B-PERS,1457
بولتون,I-PERS,1458
"""",O,1459
إن,O,1460
ما,O,1461
نسعى,O,1462
إليه,O,1463
هو,O,1464
وقف,O,1465
طويل,O,1466
للأعمال,O,1467
الحربية,O,1468
يكون,O,1469
جزءا,O,1470
من,O,1471
تغيير,O,1472
شامل,O,1473
بالمنطقة,O,1474
وجزءا,O,1475
من,O,1476
مؤسسة,O,1477
للسلام,O,1478
،,O,1479
لكن,O,1480
أحدا,O,1481
لم,O,1482
يشرح,O,1483
كيف,O,1484
يمكن,O,1485
التوصل,O,1486
إلى,O,1487
وقف,O,1488
للنار,O,1489
مع,O,1490
مجموعة,O,1491
من,O,1492
الإرهابيين,O,1493
"""",O,1494
.,O,1495
وشن,O,1497
المندوب,O,1498
الإسرائيلي,O,1499
دان,B-PERS,1500
غيلرمان,I-PERS,1501
هجوما,O,1502
عنيفا,O,1503
على,O,1504
أمين,O,1505
الأمم,B-ORG,1506
المتحدة,I-ORG,1507
لأن,O,1508
تقريره,O,1509
لم,O,1510
يشر,O,1511
إلى,O,1512
الإرهاب,O,1513
وإيران,B-LOC,1514
وسوريا,B-LOC,1515
.,O,1516
وأعلن,O,1518
المتحدث,O,1519
باسم,O,1520
الخارجية,B-ORG,1521
الأميركية,I-ORG,1522
شون,B-PERS,1523
ماكورماك,I-PERS,1524
من,O,1525
جهته,O,1526
أن,O,1527
الوزيرة,O,1528
كوندوليزا,B-PERS,1529
رايس,I-PERS,1530
